Group_1,Group_2,Doctor_Group_1,PainColumn_Group_2,T-Statistic,P-Value,Significant Difference
Doctor,Pain,Delta_AF7,Delta_AF7,-18.608150572329677,3.051192009666236e-76,Yes
Doctor,Pain,Delta_AF8,Delta_AF8,-12.249595697382485,2.6728759681029282e-34,Yes
Doctor,Pain,Delta_TP10,Delta_TP10,-2.194941351994453,0.028186402812422,Yes
Doctor,Pain,Theta_TP9,Theta_TP9,13.309435270822618,3.861560742285806e-40,Yes
Doctor,Pain,Theta_AF7,Theta_AF7,11.262483748191578,2.7945386030283225e-29,Yes
Doctor,Pain,Theta_AF8,Theta_AF8,-19.264076042834283,1.6918100365980513e-81,Yes
Doctor,Pain,Theta_TP10,Theta_TP10,18.56802644024523,6.316073980991625e-76,Yes
Doctor,Pain,Alpha_TP9,Alpha_TP9,5.102564738667778,3.400707674290109e-07,Yes
Doctor,Pain,Alpha_AF7,Alpha_AF7,18.395027832639638,1.4304358961426136e-74,Yes
Doctor,Pain,Alpha_AF8,Alpha_AF8,-29.711205848110144,2.059098448326395e-187,Yes
Doctor,Pain,Alpha_TP10,Alpha_TP10,8.359710916736308,6.959392833971937e-17,Yes
Doctor,Pain,Beta_TP9,Beta_TP9,-12.942812732125795,4.5679297314389243e-38,Yes
Doctor,Pain,Beta_AF7,Beta_AF7,14.661261461819766,2.9094067105469347e-48,Yes
Doctor,Pain,Beta_AF8,Beta_AF8,-24.004736765883084,1.7520481349093569e-124,Yes
Doctor,Pain,Beta_TP10,Beta_TP10,-9.150268135996535,6.565608736784751e-20,Yes
Doctor,Pain,Gamma_TP9,Gamma_TP9,-8.795394892554679,1.6137737445925377e-18,Yes
Doctor,Pain,Gamma_AF7,Gamma_AF7,8.570284202856403,1.1546757117417073e-17,Yes
Doctor,Pain,Gamma_AF8,Gamma_AF8,-18.10308447098352,2.600501474692631e-72,Yes
Doctor,Pain,Gamma_TP10,Gamma_TP10,-7.709931825145325,1.3553819043155156e-14,Yes
