Group_1,Group_2,Doctor_Group_1,ToiletColumn_Group_2,T-Statistic,P-Value,Significant Difference
Doctor,Toilet,Delta_AF7,Delta_AF7,-33.60751835515584,9.495458792174051e-236,Yes
Doctor,Toilet,Delta_AF8,Delta_AF8,-17.656740350339863,8.083858929084098e-69,Yes
Doctor,Toilet,Delta_TP10,Delta_TP10,-18.787275965793018,1.5791618289033471e-77,Yes
Doctor,Toilet,Theta_TP9,Theta_TP9,4.6865098785568335,2.812538443412489e-06,Yes
Doctor,Toilet,Theta_AF7,Theta_AF7,-25.778744284332138,2.5605812098961797e-142,Yes
Doctor,Toilet,Theta_AF8,Theta_AF8,-41.78235456630343,0.0,Yes
Doctor,Toilet,Theta_TP10,Theta_TP10,-16.892638246526683,3.2104760203521194e-63,Yes
Doctor,Toilet,Alpha_TP9,Alpha_TP9,14.038555942879643,2.1941295104767164e-44,Yes
Doctor,Toilet,Alpha_AF7,Alpha_AF7,-6.457686955914798,1.1081861552445153e-10,Yes
Doctor,Toilet,Alpha_AF8,Alpha_AF8,-34.31583055966683,3.2947977006105464e-245,Yes
Doctor,Toilet,Alpha_TP10,Alpha_TP10,-2.9329820274157217,0.003364189937490809,Yes
Doctor,Toilet,Beta_TP9,Beta_TP9,-4.4528432891223355,8.557971713435357e-06,Yes
Doctor,Toilet,Beta_AF7,Beta_AF7,16.438511404391686,5.291401083030349e-60,Yes
Doctor,Toilet,Beta_AF8,Beta_AF8,-2.034301012851773,0.041945303839177835,Yes
Doctor,Toilet,Beta_TP10,Beta_TP10,-2.66906532491799,0.007617480357493675,Yes
Doctor,Toilet,Gamma_TP9,Gamma_TP9,-2.241596568615085,0.025007405950998495,Yes
Doctor,Toilet,Gamma_AF7,Gamma_AF7,14.492272346259679,3.699834261280921e-47,Yes
Doctor,Toilet,Gamma_AF8,Gamma_AF8,4.520264697218954,6.241028195673046e-06,Yes
Doctor,Toilet,Gamma_TP10,Gamma_TP10,2.1168015402423146,0.03429918623971534,Yes
