Group_1,Group_2,Doctor_Group_1,WaterColumn_Group_2,T-Statistic,P-Value,Significant Difference
Doctor,Water,Delta_AF7,Delta_AF7,-16.25184684783543,1.1223358479714234e-58,Yes
Doctor,Water,Delta_AF8,Delta_AF8,6.0277903074891155,1.7179949050058101e-09,Yes
Doctor,Water,Delta_TP10,Delta_TP10,-2.0597938254166004,0.0394428239578941,Yes
Doctor,Water,Theta_TP9,Theta_TP9,0.7502940954183577,0.4530943938669125,No
Doctor,Water,Theta_AF7,Theta_AF7,1.4078136281486466,0.15921583981219012,No
Doctor,Water,Theta_AF8,Theta_AF8,-10.028957336751011,1.451128817718328e-23,Yes
Doctor,Water,Theta_TP10,Theta_TP10,3.896438767696978,9.822300886267012e-05,Yes
Doctor,Water,Alpha_TP9,Alpha_TP9,3.464142154749074,0.000534046342079414,Yes
Doctor,Water,Alpha_AF7,Alpha_AF7,13.559448345328523,1.555676712703386e-41,Yes
Doctor,Water,Alpha_AF8,Alpha_AF8,-8.111531576590727,5.5555736947992e-16,Yes
Doctor,Water,Alpha_TP10,Alpha_TP10,4.17805346186598,2.9639206402974043e-05,Yes
Doctor,Water,Beta_TP9,Beta_TP9,-13.954152151582845,7.300749524539122e-44,Yes
Doctor,Water,Beta_AF7,Beta_AF7,17.886453481305743,1.6598244409661442e-70,Yes
Doctor,Water,Beta_AF8,Beta_AF8,-0.5816026471688774,0.5608468328536429,No
Doctor,Water,Beta_TP10,Beta_TP10,-5.427321044177526,5.847753449426363e-08,Yes
Doctor,Water,Gamma_TP9,Gamma_TP9,-16.712484917864447,6.670749723754359e-62,Yes
Doctor,Water,Gamma_AF7,Gamma_AF7,12.310105673589105,1.3826732432235569e-34,Yes
Doctor,Water,Gamma_AF8,Gamma_AF8,0.4661857598140005,0.6410922029387814,No
Doctor,Water,Gamma_TP10,Gamma_TP10,-2.076216188056938,0.037898208766309505,Yes
