Group_1,Group_2,Doctor_Group_1,YesColumn_Group_2,T-Statistic,P-Value,Significant Difference
Doctor,Yes,Delta_AF7,Delta_AF7,-28.888141131133168,5.9080581845242606e-176,Yes
Doctor,Yes,Delta_AF8,Delta_AF8,-25.017268590515844,8.028705830614623e-134,Yes
Doctor,Yes,Delta_TP10,Delta_TP10,-6.144219876727672,8.358638868037412e-10,Yes
Doctor,Yes,Theta_TP9,Theta_TP9,0.739011884733764,0.4599180521840891,No
Doctor,Yes,Theta_AF7,Theta_AF7,-17.798474858940736,9.795400061956208e-70,Yes
Doctor,Yes,Theta_AF8,Theta_AF8,-35.60251369412719,1.0537633557668401e-260,Yes
Doctor,Yes,Theta_TP10,Theta_TP10,7.59265556585289,3.429895141043389e-14,Yes
Doctor,Yes,Alpha_TP9,Alpha_TP9,0.7419683008549466,0.4581248980382927,No
Doctor,Yes,Alpha_AF7,Alpha_AF7,4.275248888569067,1.9279069985150375e-05,Yes
Doctor,Yes,Alpha_AF8,Alpha_AF8,-29.609105263366448,2.2948660398388285e-184,Yes
Doctor,Yes,Alpha_TP10,Alpha_TP10,6.445234454704245,1.2103360410056617e-10,Yes
Doctor,Yes,Beta_TP9,Beta_TP9,-17.487203511246975,2.0308899233283174e-67,Yes
Doctor,Yes,Beta_AF7,Beta_AF7,11.958005138623681,1.0123737874970049e-32,Yes
Doctor,Yes,Beta_AF8,Beta_AF8,-8.355901045003732,7.405342141440759e-17,Yes
Doctor,Yes,Beta_TP10,Beta_TP10,-5.384280355311797,7.447145968714906e-08,Yes
Doctor,Yes,Gamma_TP9,Gamma_TP9,-11.861039580084443,3.1836294698740335e-32,Yes
Doctor,Yes,Gamma_AF7,Gamma_AF7,10.978198065507225,7.154443551621537e-28,Yes
Doctor,Yes,Gamma_AF8,Gamma_AF8,-2.8092204771631932,0.004976315404508766,Yes
Doctor,Yes,Gamma_TP10,Gamma_TP10,-0.4027271214884405,0.6871580481709916,No
