Group_1,Group_2,Move_Group_1,NoColumn_Group_2,T-Statistic,P-Value,Significant Difference
Move,No,Delta_AF7,Delta_AF7,8.370369684165425,6.649217476133642e-17,Yes
Move,No,Delta_AF8,Delta_AF8,3.72626822567394,0.00019558442857849927,Yes
Move,No,Delta_TP10,Delta_TP10,-3.7452437128866842,0.00018139922642507666,Yes
Move,No,Theta_TP9,Theta_TP9,-18.32943758187386,1.2138587879381021e-73,Yes
Move,No,Theta_AF7,Theta_AF7,5.274709854574331,1.3621198547917443e-07,Yes
Move,No,Theta_AF8,Theta_AF8,-3.748361300100246,0.0001791632980702398,Yes
Move,No,Theta_TP10,Theta_TP10,-2.1184707732694212,0.03416389746650664,Yes
Move,No,Alpha_TP9,Alpha_TP9,-11.83432626070203,4.6045272263286097e-32,Yes
Move,No,Alpha_AF7,Alpha_AF7,8.52641100154798,1.766943439550044e-17,Yes
Move,No,Alpha_AF8,Alpha_AF8,-2.210017562289032,0.0271302580961678,Yes
Move,No,Alpha_TP10,Alpha_TP10,-1.1282853114528733,0.2592310109137462,No
Move,No,Beta_TP9,Beta_TP9,-10.204127539606807,2.6156866174469406e-24,Yes
Move,No,Beta_AF7,Beta_AF7,-1.3399973521529547,0.1802817118580363,No
Move,No,Beta_AF8,Beta_AF8,-3.590868456316698,0.00033142085949539816,Yes
Move,No,Beta_TP10,Beta_TP10,1.6251143609072423,0.1041749436380319,No
Move,No,Gamma_TP9,Gamma_TP9,-4.977857518552434,6.554400996071313e-07,Yes
Move,No,Gamma_AF7,Gamma_AF7,-0.8335490079517633,0.4045583876326112,No
Move,No,Gamma_AF8,Gamma_AF8,-1.0831347099222068,0.27877908940491414,No
Move,No,Gamma_TP10,Gamma_TP10,7.7704729662929,8.72227264264774e-15,Yes
