Group_1,Group_2,Move_Group_1,SilentColumn_Group_2,T-Statistic,P-Value,Significant Difference
Move,Silent,Delta_AF7,Delta_AF7,4.132556988274833,3.618744500350553e-05,Yes
Move,Silent,Delta_AF8,Delta_AF8,14.460547648147585,6.871625732563242e-47,Yes
Move,Silent,Delta_TP10,Delta_TP10,16.87540538165828,5.787756894894197e-63,Yes
Move,Silent,Theta_TP9,Theta_TP9,-3.4928576702661123,0.00048008760119966386,Yes
Move,Silent,Theta_AF7,Theta_AF7,4.331504792730567,1.4963742877560237e-05,Yes
Move,Silent,Theta_AF8,Theta_AF8,20.148185433397103,2.0545633016260888e-88,Yes
Move,Silent,Theta_TP10,Theta_TP10,2.006106665273721,0.04487358175948472,Yes
Move,Silent,Alpha_TP9,Alpha_TP9,-43.9185927031803,0.0,Yes
Move,Silent,Alpha_AF7,Alpha_AF7,-1.134051583173939,0.25680194838014747,No
Move,Silent,Alpha_AF8,Alpha_AF8,9.358514434704594,9.958228069001353e-21,Yes
Move,Silent,Alpha_TP10,Alpha_TP10,-49.291041875421165,0.0,Yes
Move,Silent,Beta_TP9,Beta_TP9,45.293166497916275,0.0,Yes
Move,Silent,Beta_AF7,Beta_AF7,27.03225771928131,4.957219749120554e-155,Yes
Move,Silent,Beta_AF8,Beta_AF8,35.51469199953074,2.72908452433199e-259,Yes
Move,Silent,Beta_TP10,Beta_TP10,58.233525872763806,0.0,Yes
Move,Silent,Gamma_TP9,Gamma_TP9,64.50624855152854,0.0,Yes
Move,Silent,Gamma_AF7,Gamma_AF7,32.09301353309103,1.7108562249147397e-214,Yes
Move,Silent,Gamma_AF8,Gamma_AF8,41.001308778087235,0.0,Yes
Move,Silent,Gamma_TP10,Gamma_TP10,72.47085652931838,0.0,Yes
