Group_1,Group_2,Move_Group_1,ToiletColumn_Group_2,T-Statistic,P-Value,Significant Difference
Move,Toilet,Delta_AF7,Delta_AF7,15.16868842132707,2.0862545634492047e-51,Yes
Move,Toilet,Delta_AF8,Delta_AF8,20.332189353632582,4.123773809718461e-90,Yes
Move,Toilet,Delta_TP10,Delta_TP10,-11.832693305827691,4.300043517902705e-32,Yes
Move,Toilet,Theta_TP9,Theta_TP9,-7.2301097457845325,5.174474997132172e-13,Yes
Move,Toilet,Theta_AF7,Theta_AF7,6.092114020221857,1.1547856338015094e-09,Yes
Move,Toilet,Theta_AF8,Theta_AF8,4.71369004969209,2.4651147944250043e-06,Yes
Move,Toilet,Theta_TP10,Theta_TP10,-21.15747990369728,2.92658137750654e-97,Yes
Move,Toilet,Alpha_TP9,Alpha_TP9,4.99244023863502,6.06133796634845e-07,Yes
Move,Toilet,Alpha_AF7,Alpha_AF7,5.409392359126701,6.467782029927277e-08,Yes
Move,Toilet,Alpha_AF8,Alpha_AF8,-2.604071649167716,0.00922578606736276,Yes
Move,Toilet,Alpha_TP10,Alpha_TP10,-9.368445224795325,8.929448320839475e-21,Yes
Move,Toilet,Beta_TP9,Beta_TP9,0.5669490546581063,0.5707613478995427,No
Move,Toilet,Beta_AF7,Beta_AF7,1.3051821333574778,0.19186046069273147,No
Move,Toilet,Beta_AF8,Beta_AF8,-1.371159815133181,0.17035549480224793,No
Move,Toilet,Beta_TP10,Beta_TP10,3.435215949572984,0.0005944543278158383,Yes
Move,Toilet,Gamma_TP9,Gamma_TP9,0.744573789664367,0.45654667794563086,No
Move,Toilet,Gamma_AF7,Gamma_AF7,1.9872053854101428,0.04692650943580614,Yes
Move,Toilet,Gamma_AF8,Gamma_AF8,-0.0038250984762745154,0.9969480956927959,No
Move,Toilet,Gamma_TP10,Gamma_TP10,10.155466227218819,4.086185044048435e-24,Yes
