Group_1,Group_2,No_Group_1,PainColumn_Group_2,T-Statistic,P-Value,Significant Difference
No,Pain,Delta_AF7,Delta_AF7,17.122865283091798,7.630523783870665e-65,Yes
No,Pain,Delta_AF8,Delta_AF8,17.383662545601783,9.464928936993409e-67,Yes
No,Pain,Delta_TP10,Delta_TP10,8.397589377238605,5.146747665036896e-17,Yes
No,Pain,Theta_TP9,Theta_TP9,20.496913730445037,1.4220273812533891e-91,Yes
No,Pain,Theta_AF7,Theta_AF7,27.854445638699804,8.860309952272752e-165,Yes
No,Pain,Theta_AF8,Theta_AF8,22.388685976801963,1.746075976888163e-108,Yes
No,Pain,Theta_TP10,Theta_TP10,11.319316804412024,1.5630596987260752e-29,Yes
No,Pain,Alpha_TP9,Alpha_TP9,9.44525060994617,4.301620302274469e-21,Yes
No,Pain,Alpha_AF7,Alpha_AF7,15.815260457590286,1.0760420024299923e-55,Yes
No,Pain,Alpha_AF8,Alpha_AF8,1.352603552693837,0.17621154350827298,No
No,Pain,Alpha_TP10,Alpha_TP10,1.487416019499165,0.1369350998737951,No
No,Pain,Beta_TP9,Beta_TP9,3.637772661783301,0.00027632856792227946,Yes
No,Pain,Beta_AF7,Beta_AF7,-1.1880461392196766,0.23484219677588428,No
No,Pain,Beta_AF8,Beta_AF8,-15.081876273117627,7.285901909369161e-51,Yes
No,Pain,Beta_TP10,Beta_TP10,-3.7166508776810496,0.0002029335203436114,Yes
No,Pain,Gamma_TP9,Gamma_TP9,-0.4321967498374046,0.6656073271453253,No
No,Pain,Gamma_AF7,Gamma_AF7,-4.862796579954621,1.1742336156760504e-06,Yes
No,Pain,Gamma_AF8,Gamma_AF8,-17.824270336129526,4.942597246166432e-70,Yes
No,Pain,Gamma_TP10,Gamma_TP10,-6.882139068968667,6.233600046256075e-12,Yes
