Group_1,Group_2,No_Group_1,SilentColumn_Group_2,T-Statistic,P-Value,Significant Difference
No,Silent,Delta_AF7,Delta_AF7,-4.895336629749701,9.998324792638833e-07,Yes
No,Silent,Delta_AF8,Delta_AF8,9.257218295548373,2.6255612962089485e-20,Yes
No,Silent,Delta_TP10,Delta_TP10,19.136747125342985,6.3894514554685035e-80,Yes
No,Silent,Theta_TP9,Theta_TP9,14.91068830033681,1.223860495845123e-49,Yes
No,Silent,Theta_AF7,Theta_AF7,-1.5524251397994981,0.12059855352131481,No
No,Silent,Theta_AF8,Theta_AF8,21.155300834310477,8.437601572268295e-97,Yes
No,Silent,Theta_TP10,Theta_TP10,4.222898777233782,2.4374737884005898e-05,Yes
No,Silent,Alpha_TP9,Alpha_TP9,-29.65327465549721,8.666755777970618e-184,Yes
No,Silent,Alpha_AF7,Alpha_AF7,-8.722727813259812,3.2428075991122203e-18,Yes
No,Silent,Alpha_AF8,Alpha_AF8,10.1229589483531,6.011718322159948e-24,Yes
No,Silent,Alpha_TP10,Alpha_TP10,-45.59712996728881,0.0,Yes
No,Silent,Beta_TP9,Beta_TP9,49.47516571526162,0.0,Yes
No,Silent,Beta_AF7,Beta_AF7,27.84566458938564,3.1013126937537257e-163,Yes
No,Silent,Beta_AF8,Beta_AF8,40.47918091079881,0.0,Yes
No,Silent,Beta_TP10,Beta_TP10,39.92911297391409,0.0,Yes
No,Silent,Gamma_TP9,Gamma_TP9,61.44619054099548,0.0,Yes
No,Silent,Gamma_AF7,Gamma_AF7,32.46701640810215,7.872460477348299e-218,Yes
No,Silent,Gamma_AF8,Gamma_AF8,44.621318766709734,0.0,Yes
No,Silent,Gamma_TP10,Gamma_TP10,46.469410785807845,0.0,Yes
