Group_1,Group_2,No_Group_1,ToiletColumn_Group_2,T-Statistic,P-Value,Significant Difference
No,Toilet,Delta_AF7,Delta_AF7,4.861772901063235,1.182867069018488e-06,Yes
No,Toilet,Delta_AF8,Delta_AF8,14.590608127518596,1.111320927524957e-47,Yes
No,Toilet,Delta_TP10,Delta_TP10,-7.251147572908106,4.47017366896657e-13,Yes
No,Toilet,Theta_TP9,Theta_TP9,13.302072884283863,5.3148223786041064e-40,Yes
No,Toilet,Theta_AF7,Theta_AF7,-0.3514984547395302,0.7252225713828871,No
No,Toilet,Theta_AF8,Theta_AF8,8.420718701617597,4.3097394573075425e-17,Yes
No,Toilet,Theta_TP10,Theta_TP10,-17.656590974347502,1.2537196648129233e-68,Yes
No,Toilet,Alpha_TP9,Alpha_TP9,17.494184470255874,1.999775597147993e-67,Yes
No,Toilet,Alpha_AF7,Alpha_AF7,-4.391589802834435,1.1379741546661555e-05,Yes
No,Toilet,Alpha_AF8,Alpha_AF8,0.026967338047204144,0.9784863764726529,No
No,Toilet,Alpha_TP10,Alpha_TP10,-7.659994839885108,2.0496024065579333e-14,Yes
No,Toilet,Beta_TP9,Beta_TP9,10.703966958550403,1.4032080338602235e-26,Yes
No,Toilet,Beta_AF7,Beta_AF7,2.5636318007160246,0.010374258915740996,Yes
No,Toilet,Beta_AF8,Beta_AF8,2.2617815457201345,0.023734402016962017,Yes
No,Toilet,Beta_TP10,Beta_TP10,1.3075207028745195,0.19106896839688658,No
No,Toilet,Gamma_TP9,Gamma_TP9,5.549855414150414,2.939298459434107e-08,Yes
No,Toilet,Gamma_AF7,Gamma_AF7,2.6796944255052884,0.007382204415698939,Yes
No,Toilet,Gamma_AF8,Gamma_AF8,1.0603531359383729,0.2890121220787116,No
No,Toilet,Gamma_TP10,Gamma_TP10,1.2158029897429325,0.22409152494848206,No
