Group_1,Group_2,No_Group_1,WaterColumn_Group_2,T-Statistic,P-Value,Significant Difference
No,Water,Delta_AF7,Delta_AF7,17.000341810256053,8.785214490983812e-64,Yes
No,Water,Delta_AF8,Delta_AF8,29.866413417510223,1.2392098288180511e-186,Yes
No,Water,Delta_TP10,Delta_TP10,7.493974434224441,7.339592216037625e-14,Yes
No,Water,Theta_TP9,Theta_TP9,9.562581796523977,1.4673944572099403e-21,Yes
No,Water,Theta_AF7,Theta_AF7,19.361269113729016,8.637447958625708e-82,Yes
No,Water,Theta_AF8,Theta_AF8,29.101367110372514,1.0129512179780078e-177,Yes
No,Water,Theta_TP10,Theta_TP10,-0.7287131147892955,0.46619687850687896,No
No,Water,Alpha_TP9,Alpha_TP9,7.6586486152631155,2.0812816804379695e-14,Yes
No,Water,Alpha_AF7,Alpha_AF7,11.812855268960377,5.88961239055959e-32,Yes
No,Water,Alpha_AF8,Alpha_AF8,20.392748145366372,2.5093223398122603e-90,Yes
No,Water,Alpha_TP10,Alpha_TP10,-1.6566613629378886,0.09762419317391734,No
No,Water,Beta_TP9,Beta_TP9,0.15381286703669145,0.8777608729574706,No
No,Water,Beta_AF7,Beta_AF7,4.78141528509763,1.7693697955470907e-06,Yes
No,Water,Beta_AF8,Beta_AF8,3.3821350799970546,0.0007224326927448087,Yes
No,Water,Beta_TP10,Beta_TP10,-1.4097046493226733,0.158662830244184,No
No,Water,Gamma_TP9,Gamma_TP9,-8.010940350310433,1.2860552900927693e-15,Yes
No,Water,Gamma_AF7,Gamma_AF7,1.2840865636143846,0.19914602907900963,No
No,Water,Gamma_AF8,Gamma_AF8,-2.2463654033622857,0.024705715407240876,Yes
No,Water,Gamma_TP10,Gamma_TP10,-2.1681959342681245,0.03017093018800384,Yes
