Group_1,Group_2,No_Group_1,YesColumn_Group_2,T-Statistic,P-Value,Significant Difference
No,Yes,Delta_AF7,Delta_AF7,3.677553158593414,0.0002370985667343914,Yes
No,Yes,Delta_AF8,Delta_AF8,4.90292563603545,9.636693518988113e-07,Yes
No,Yes,Delta_TP10,Delta_TP10,3.653349837663973,0.0002605745298423871,Yes
No,Yes,Theta_TP9,Theta_TP9,8.440999346884281,3.7282175473004187e-17,Yes
No,Yes,Theta_AF7,Theta_AF7,2.6971627235619557,0.007008652224134271,Yes
No,Yes,Theta_AF8,Theta_AF8,3.6268812668050594,0.00028873436349159107,Yes
No,Yes,Theta_TP10,Theta_TP10,2.6789063824920167,0.007402120178852458,Yes
No,Yes,Alpha_TP9,Alpha_TP9,4.8056763300450305,1.5717191994349211e-06,Yes
No,Yes,Alpha_AF7,Alpha_AF7,4.206886384194532,2.6187294825444916e-05,Yes
No,Yes,Alpha_AF8,Alpha_AF8,0.2819203416533355,0.7780122264529348,No
No,Yes,Alpha_TP10,Alpha_TP10,0.8461563520756601,0.3974920252918015,No
No,Yes,Beta_TP9,Beta_TP9,-1.7081848833123998,0.08764265908379384,No
No,Yes,Beta_AF7,Beta_AF7,-0.5457967613797972,0.5852215829660623,No
No,Yes,Beta_AF8,Beta_AF8,-2.8613214554987465,0.004230244367691746,Yes
No,Yes,Beta_TP10,Beta_TP10,-1.1014933513246332,0.2707166920346393,No
No,Yes,Gamma_TP9,Gamma_TP9,-3.57951662450506,0.00034636545374286875,Yes
No,Yes,Gamma_AF7,Gamma_AF7,0.26708521367467253,0.7894107598461555,No
No,Yes,Gamma_AF8,Gamma_AF8,-4.944653693532992,7.790512342565108e-07,Yes
No,Yes,Gamma_TP10,Gamma_TP10,-0.8202839611722742,0.41207983524823877,No
