Group_1,Group_2,Pain_Group_1,SilentColumn_Group_2,T-Statistic,P-Value,Significant Difference
Pain,Silent,Delta_AF7,Delta_AF7,-25.24023993022505,8.870114985075788e-137,Yes
Pain,Silent,Delta_AF8,Delta_AF8,-10.07256977255116,9.210137676564082e-24,Yes
Pain,Silent,Delta_TP10,Delta_TP10,12.866740636904717,1.2752392920951696e-37,Yes
Pain,Silent,Theta_TP9,Theta_TP9,-4.596204360551479,4.34939873130284e-06,Yes
Pain,Silent,Theta_AF7,Theta_AF7,-33.87142055749373,1.4623403234741836e-239,Yes
Pain,Silent,Theta_AF8,Theta_AF8,0.6826104500819863,0.4948670828154289,No
Pain,Silent,Theta_TP10,Theta_TP10,-7.861270408966487,4.149342520076872e-15,Yes
Pain,Silent,Alpha_TP9,Alpha_TP9,-44.960710676066576,0.0,Yes
Pain,Silent,Alpha_AF7,Alpha_AF7,-28.036504143226527,3.014876164269503e-167,Yes
Pain,Silent,Alpha_AF8,Alpha_AF8,9.814020165807152,1.2078565533595737e-22,Yes
Pain,Silent,Alpha_TP10,Alpha_TP10,-57.145031153156616,0.0,Yes
Pain,Silent,Beta_TP9,Beta_TP9,48.56704329870128,0.0,Yes
Pain,Silent,Beta_AF7,Beta_AF7,34.83917990822433,1.2186231838552703e-252,Yes
Pain,Silent,Beta_AF8,Beta_AF8,59.865058347446706,0.0,Yes
Pain,Silent,Beta_TP10,Beta_TP10,46.66496227755968,0.0,Yes
Pain,Silent,Gamma_TP9,Gamma_TP9,60.72649547094069,0.0,Yes
Pain,Silent,Gamma_AF7,Gamma_AF7,43.98974816509678,0.0,Yes
Pain,Silent,Gamma_AF8,Gamma_AF8,67.01078833532863,0.0,Yes
Pain,Silent,Gamma_TP10,Gamma_TP10,52.86118132585566,0.0,Yes
