Group_1,Group_2,Pain_Group_1,WaterColumn_Group_2,T-Statistic,P-Value,Significant Difference
Pain,Water,Delta_AF7,Delta_AF7,1.266229409982786,0.20545641875790138,No
Pain,Water,Delta_AF8,Delta_AF8,15.872553197536204,3.8277521872048344e-56,Yes
Pain,Water,Delta_TP10,Delta_TP10,-0.0898589949670463,0.9284008198070315,No
Pain,Water,Theta_TP9,Theta_TP9,-12.163227566688667,7.842888804351805e-34,Yes
Pain,Water,Theta_AF7,Theta_AF7,-8.839447202295352,1.100405361573281e-18,Yes
Pain,Water,Theta_AF8,Theta_AF8,9.467256969191633,3.426720030465623e-21,Yes
Pain,Water,Theta_TP10,Theta_TP10,-13.380654217272427,1.5677459260240704e-40,Yes
Pain,Water,Alpha_TP9,Alpha_TP9,-1.2792363956658468,0.20083944155989086,No
Pain,Water,Alpha_AF7,Alpha_AF7,-3.8857448097293243,0.00010258463086009902,Yes
Pain,Water,Alpha_AF8,Alpha_AF8,20.823897204460017,1.4032602599119525e-94,Yes
Pain,Water,Alpha_TP10,Alpha_TP10,-3.658177548009132,0.0002551416208697183,Yes
Pain,Water,Beta_TP9,Beta_TP9,-3.3792270442801926,0.0007292964160536356,Yes
Pain,Water,Beta_AF7,Beta_AF7,7.234736425790501,4.958578595363339e-13,Yes
Pain,Water,Beta_AF8,Beta_AF8,19.761235928857662,1.6313297160369096e-85,Yes
Pain,Water,Beta_TP10,Beta_TP10,1.997120939658708,0.04583539464038408,Yes
Pain,Water,Gamma_TP9,Gamma_TP9,-8.631553607890705,6.840811392681245e-18,Yes
Pain,Water,Gamma_AF7,Gamma_AF7,6.454749719312458,1.1272509673105642e-10,Yes
Pain,Water,Gamma_AF8,Gamma_AF8,15.766321797226523,1.996114575378826e-55,Yes
Pain,Water,Gamma_TP10,Gamma_TP10,4.4342991969618195,9.322283586153609e-06,Yes
