Group_1,Group_2,Silent_Group_1,ToiletColumn_Group_2,T-Statistic,P-Value,Significant Difference
Silent,Toilet,Delta_AF7,Delta_AF7,11.26864579227289,2.8262180366534665e-29,Yes
Silent,Toilet,Delta_AF8,Delta_AF8,6.5253969050387415,7.114600963518113e-11,Yes
Silent,Toilet,Delta_TP10,Delta_TP10,-26.95396991375251,1.791665488533544e-154,Yes
Silent,Toilet,Theta_TP9,Theta_TP9,-3.350076256172667,0.0008109171764167408,Yes
Silent,Toilet,Theta_AF7,Theta_AF7,1.5139435821732197,0.13007212054700318,No
Silent,Toilet,Theta_AF8,Theta_AF8,-19.561714359230947,1.2357374910176213e-83,Yes
Silent,Toilet,Theta_TP10,Theta_TP10,-23.7821067558483,1.276559503287122e-121,Yes
Silent,Toilet,Alpha_TP9,Alpha_TP9,52.388295617949595,0.0,Yes
Silent,Toilet,Alpha_AF7,Alpha_AF7,6.094918094645666,1.1358295425833407e-09,Yes
Silent,Toilet,Alpha_AF8,Alpha_AF8,-12.041351120605748,3.673448692658603e-33,Yes
Silent,Toilet,Alpha_TP10,Alpha_TP10,37.08482513800496,5.626409148738984e-282,Yes
Silent,Toilet,Beta_TP9,Beta_TP9,-43.11552487989142,0.0,Yes
Silent,Toilet,Beta_AF7,Beta_AF7,-25.162008404053136,1.8016309479870283e-135,Yes
Silent,Toilet,Beta_AF8,Beta_AF8,-35.78060253318221,9.046566324580946e-264,Yes
Silent,Toilet,Beta_TP10,Beta_TP10,-41.52203616807195,0.0,Yes
Silent,Toilet,Gamma_TP9,Gamma_TP9,-60.57702610269459,0.0,Yes
Silent,Toilet,Gamma_AF7,Gamma_AF7,-28.683093821224787,7.176613512971364e-174,Yes
Silent,Toilet,Gamma_AF8,Gamma_AF8,-39.02490163034642,5.83911220589357e-310,Yes
Silent,Toilet,Gamma_TP10,Gamma_TP10,-49.13477650675045,0.0,Yes
