Group_1,Group_2,Toilet_Group_1,YesColumn_Group_2,T-Statistic,P-Value,Significant Difference
Toilet,Yes,Delta_AF7,Delta_AF7,-0.5046242179800839,0.613834878629594,No
Toilet,Yes,Delta_AF8,Delta_AF8,-9.125039287028796,8.68625511840305e-20,Yes
Toilet,Yes,Delta_TP10,Delta_TP10,11.049647323375103,3.309447615054715e-28,Yes
Toilet,Yes,Theta_TP9,Theta_TP9,-3.2765601896482766,0.0010546904832632261,Yes
Toilet,Yes,Theta_AF7,Theta_AF7,3.69778749118847,0.00021875181301582344,Yes
Toilet,Yes,Theta_AF8,Theta_AF8,-4.146141879702363,3.4115814131868394e-05,Yes
Toilet,Yes,Theta_TP10,Theta_TP10,20.63099214483179,1.7529978081725277e-92,Yes
Toilet,Yes,Alpha_TP9,Alpha_TP9,-11.868358433790165,2.968998757556413e-32,Yes
Toilet,Yes,Alpha_AF7,Alpha_AF7,10.006016824290164,1.8894272797413015e-23,Yes
Toilet,Yes,Alpha_AF8,Alpha_AF8,0.3082372529172816,0.7579087839379703,No
Toilet,Yes,Alpha_TP10,Alpha_TP10,8.641146569774312,6.49600840027385e-18,Yes
Toilet,Yes,Beta_TP9,Beta_TP9,-12.850445818018573,1.7939601991572257e-37,Yes
Toilet,Yes,Beta_AF7,Beta_AF7,-3.1557260014678072,0.0016061526250049339,Yes
Toilet,Yes,Beta_AF8,Beta_AF8,-5.235249837921123,1.6839840639293553e-07,Yes
Toilet,Yes,Beta_TP10,Beta_TP10,-2.565755194318447,0.010310836720808307,Yes
Toilet,Yes,Gamma_TP9,Gamma_TP9,-9.69990851461084,3.851287035079584e-22,Yes
Toilet,Yes,Gamma_AF7,Gamma_AF7,-2.3927552376651064,0.01674231843831356,Yes
Toilet,Yes,Gamma_AF8,Gamma_AF8,-6.025003990644906,1.7559341889055524e-09,Yes
Toilet,Yes,Gamma_TP10,Gamma_TP10,-2.152721345629997,0.03136649732049585,Yes
