Group_1,Group_2,Water_Group_1,YesColumn_Group_2,T-Statistic,P-Value,Significant Difference
Water,Yes,Delta_AF7,Delta_AF7,-12.744268943369603,7.121145292130025e-37,Yes
Water,Yes,Delta_AF8,Delta_AF8,-25.41403276938725,1.548409606613386e-137,Yes
Water,Yes,Delta_TP10,Delta_TP10,-3.805861272991257,0.000142273859645554,Yes
Water,Yes,Theta_TP9,Theta_TP9,0.07941615023192475,0.9367034365739006,No
Water,Yes,Theta_AF7,Theta_AF7,-17.086781370217075,2.042892613635583e-64,Yes
Water,Yes,Theta_AF8,Theta_AF8,-27.059592305592176,6.041326571754485e-155,Yes
Water,Yes,Theta_TP10,Theta_TP10,3.6895889295642683,0.00022597746460869793,Yes
Water,Yes,Alpha_TP9,Alpha_TP9,-2.3831130416010113,0.01718810358615837,Yes
Water,Yes,Alpha_AF7,Alpha_AF7,-7.839253310113271,5.062939334411693e-15,Yes
Water,Yes,Alpha_AF8,Alpha_AF8,-20.8671919170504,2.0496541567091142e-94,Yes
Water,Yes,Alpha_TP10,Alpha_TP10,2.610608658974467,0.009053512288901215,Yes
Water,Yes,Beta_TP9,Beta_TP9,-1.7659961155927235,0.07743131483842672,No
Water,Yes,Beta_AF7,Beta_AF7,-5.340164269069193,9.518970911091593e-08,Yes
Water,Yes,Beta_AF8,Beta_AF8,-6.324083330885597,2.6719850790996683e-10,Yes
Water,Yes,Beta_TP10,Beta_TP10,0.38062143661962416,0.7034933983892127,No
Water,Yes,Gamma_TP9,Gamma_TP9,4.7634529886137384,1.9336483460456964e-06,Yes
Water,Yes,Gamma_AF7,Gamma_AF7,-1.0219898874600257,0.30681389895007316,No
Water,Yes,Gamma_AF8,Gamma_AF8,-2.6807779782342354,0.007358870660497158,Yes
Water,Yes,Gamma_TP10,Gamma_TP10,1.4229267906710465,0.15479297658813074,No
